customer_state,revenue,customers,orders,avg_delivery_days
SP,5202955.05,39981,41375,8.259608552419094
RJ,1824092.67,12303,12762,14.689382157500354
MG,1585308.03,11178,11544,11.515522180072772
RS,750304.02,5249,5432,14.708299364095875
PR,683083.76,4840,4998,11.480793060718712
SC,520553.34,3513,3612,14.520985846754515
BA,511349.99,3257,3358,18.77464023893565
DF,302603.94,2062,2125,12.501486199575371
GO,294591.95,1942,2007,14.948177426438296
ES,275037.31,1956,2025,15.192808988764044
PE,262788.03,1605,1648,17.79209621993127
CE,227254.71,1305,1327,20.537166900420758
PA,178947.81,944,970,23.301707779886147
MT,156453.53,873,903,17.508196721311474
MA,119648.22,719,740,21.20375
MS,116812.64,688,709,15.10727496917386
PB,115268.08,516,532,20.119453924914676
PI,86914.08,481,493,18.931166347992352
RN,83034.98,471,482,18.87332053742802
AL,80314.81,399,411,23.992974238875878
SE,58920.85,338,345,20.978666666666665
TO,49621.74,272,279,17.003225806451614
RO,46140.64,235,247,19.28205128205128
AM,22356.84,142,147,25.96319018404908
AC,15982.95,77,81,20.32967032967033
AP,13474.3,67,68,27.753086419753085
RR,7829.43,45,46,27.82608695652174
