order_month,New,Returning,returning_share_pct
2016-09,3,0,0.0
2016-10,305,0,0.0
2016-12,1,0,0.0
2017-01,754,1,0.13245033112582782
2017-02,1705,3,0.1756440281030445
2017-03,2595,6,0.2306805074971165
2017-04,2339,20,0.8478168715557439
2017-05,3560,28,0.7803790412486065
2017-06,3114,40,1.2682308180088777
2017-07,3843,51,1.3097072419106317
2017-08,4149,62,1.4723343623842318
2017-09,4090,80,1.9184652278177456
2017-10,4412,89,1.9773383692512776
2017-11,7217,125,1.7025333696540454
2017-12,5442,115,2.069461939895627
2018-01,6983,137,1.9241573033707864
2018-02,6422,115,1.759216766100658
2018-03,6947,149,2.099774520856821
2018-04,6709,169,2.4571096248909567
2018-05,6604,191,2.810890360559235
2018-06,5934,187,3.0550563633393235
2018-07,6054,157,2.5277733054258573
2018-08,6238,173,2.698486975510841
2018-09,0,1,100.0
